	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
 120461  89   4   5   4   4   1   1   2   2   0 
 132481  87   4   6   4   4   0   0   2   2   0 
 146424  86   3   6   3   3   1   1   1   2   0 
 162876  84   4   5   4   4   0   0   2   2   0 
 181960  80   3   6   4   3   0   0   2   1   0 
 204383  78   3   5   4   3   1   1   2   2   0 
 231178  77   4   6   3   3   0   0   2   2   0 
 263332  76   3   5   4   4   0   1   2   1   0 
 301756  74   3   5   3   3   0   1   1   2   0 
 347864  71   3   4   3   3   1   0   2   2   0 
 402963  68   4   5   4   3   0   0   2   1   0 
 468415  65   3   4   3   3   0   1   1   2   0 
 533950  62   3   4   3   3   0   0   2   2   0 
 599485  60   3   5   3   3   1   1   1   1   0 
 665020  58   3   4   3   2   0   0   1   1   0 
 730555  56   2   4   3   3   0   1   2   2   0 
 796090  55   3   3   3   2   1   0   1   2   0 
 861625  54   3   4   2   2   1   0   1   1   0 
 927160  52   3   3   3   2   0   1   1   2   0 
 992695  50   3   3   3   2   1   0   0   1   0 
1058230  48   2   3   2   2   0   0   1   2   0 
1123765  47   3   2   3   1   1   1   1   1   0 
1189300  46   3   3   2   2   0   1   1   1   0 
1254835  45   2   3   2   2   0   0   0   2   0 
1320370  43   3   3   2   1   1   0   1   1   0 
1385905  42   2   2   2   2   0   1   1   1   0 
1451440  40   2   3   2   2   0   0   1   1   0 
1516975  37   2   2   2   1   1   1   0   1   0 
1582510  35   2   2   1   2   0   0   1   2   0 
1648045  33   2   2   2   1   1   1   1   1   0 
1713580  32   1   2   2   1   0   0   0   1   0 
1779115  30   2   1   2   1   1   0   1   1   0 
1844650  29   2   2   2   1   0   1   1   1   0 
1910185  27   2   2   2   2   0   0   0   0   0 
1975720  25   1   2   1   1   0   0   1   1   0 
2041255  22   1   1   1   1   0   1   1   1   0 
2106790  20   2   2   2   1   1   0   1   1   0 
2172325  19   1   2   2   1   0   1   0   0   0 
2237860  17   1   2   1   0   0   0   1   1   0 
2303395  16   0   1   1   1   1   0   1   1   0 
2368930  15   1   2   2   0   0   1   1   0   0 
2434465  14   1   2   1   1   0   0   1   1   0 
2500000  10   1   1   2   1   1   0   1   1   0 
	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 250  55  45  60  50  65  55  70  70   1 
     12  13   1   2   1   1   1   1   2   1   0 
     30  14   2   2   1   2   0   0   2   2   0 
     56  15   2   2   2   1   1   1   1   2   0 
     92  16   2   2   2   2   0   0   2   1   0 
    140  17   2   2   1   2   1   1   2   2   0 
    202  17   2   2   2   1   1   0   2   2   0 
    281  18   2   2   2   2   0   1   1   2   0 
    379  18   2   2   1   2   1   1   2   1   0 
    496  19   2   2   2   2   1   0   2   2   1 
    634  20   3   2   3   2   1   1   2   2   0 
    798  24   2   3   3   2   1   0   2   2   0 
    991  26   3   2   4   3   2   1   2   2   0 
   1213  29   3   3   3   2   1   1   3   1   0 
   1479  31   3   3   4   2   2   1   2   2   0 
   1794  33   2   2   4   3   1   1   2   2   0 
   2159  36   3   3   3   4   1   0   3   2   0 
   2584  37   3   3   4   3   2   1   2   3   0 
   3064  39   3   3   4   4   1   1   2   2   0 
   3604  40   2   3   4   4   2   1   3   2   1 
   4200  41   3   4   3   3   1   0   2   3   0 
   4864  42   3   3   4   4   1   1   3   2   0 
   5587  44   3   3   4   3   2   1   2   2   0 
   6385  45   3   4   4   4   1   1   3   3   0 
   7254  47   4   3   3   3   1   0   3   2   0 
   8205  49   3   4   4   4   1   1   2   2   0 
   9236  50   4   4   4   4   1   1   3   3   0 
  10364  52   5   4   4   3   2   1   3   3   0 
  11604  53   4   3   3   4   1   1   3   3   0 
  12961  55   5   4   4   4   1   0   4   3   1 
  14453  60   5   3   4   3   1   1   3   4   0 
  16079  65   5   3   4   4   1   1   3   3   0 
  17859  68   4   4   3   3   2   0   3   3   0 
  19808  70   5   3   4   4   2   1   4   3   0 
  21903  73   4   3   4   3   1   1   3   3   0 
  24144  75   4   4   4   4   1   1   4   4   0 
  26530  80   5   4   4   3   1   0   4   3   0 
  29047  84   4   4   5   4   2   1   3   3   0 
  31677  87   4   3   4   4   1   1   4   4   0 
  34438  93   4   4   4   4   2   1   4   3   1 
  37309  97   5   4   4   4   1   2   4   4   0 
  40280 101   5   4   4   4   1   1   4   4   0 
  43340 104   6   4   4   4   0   1   5   5   0 
  46507 108   5   5   4   4   1   2   4   4   0 
  49800 110   6   5   4   3   1   1   4   5   0 
  53274 107   5   5   3   4   0   1   5   4   0 
  56973 105   5   4   4   4   1   1   4   4   0 
  60893 103   4   5   4   3   0   0   4   3   0 
  65087 101   5   4   3   4   1   1   4   3   0 
  69637  99   5   4   4   4   1   1   3   4   1 
  74642  97   4   4   4   3   1   1   4   3   0 
  80197  95   5   4   4   4   1   1   4   3   0 
  86418  93   4   3   3   3   0   1   4   3   0 
  93416  90   4   4   3   4   0   0   3   2   0 
 101253  89   4   4   4   3   0   1   4   3   0 
 110187  86   3   4   3   4   0   1   4   3   0 
 120461  84   4   3   3   3   1   1   3   3   0 
 132481  81   3   4   4   4   0   0   4   2   0 
 146424  80   4   4   3   3   1   1   3   3   0 
 162876  78   4   4   3   3   0   1   3   2   0 
 181960  77   3   4   3   3   1   0   4   3   0 
 204383  75   3   3   2   2   1   1   3   2   0 
 231178  72   4   4   3   3   0   1   3   3   0 
 263332  70   3   4   3   3   1   0   3   3   0 
 301756  68   3   3   2   3   0   1   4   3   0 
 347864  66   3   4   3   2   1   0   3   2   0 
 402963  63   4   3   2   2   0   1   3   3   0 
 468415  61   3   3   2   3   1   0   3   2   0 
 533950  59   3   4   2   2   0   1   2   2   0 
 599485  55   4   3   2   2   1   0   3   3   0 
 665020  52   3   3   1   3   0   0   2   2   0 
 730555  50   3   3   2   2   1   1   3   3   0 
 796090  48   2   3   2   2   1   0   2   2   0 
 861625  45   3   3   2   2   1   0   2   3   0 
 927160  44   3   2   1   2   0   1   2   3   0 
 992695  42   2   3   2   2   0   0   1   2   0 
1058230  40   2   3   2   1   1   0   2   3   0 
1123765  39   1   3   2   2   0   0   2   2   0 
1189300  37   2   2   1   1   0   1   2   2   0 
1254835  35   2   3   2   2   1   0   2   3   0 
1320370  33   2   2   1   1   1   0   1   2   0 
1385905  31   1   3   1   1   0   0   2   2   0 
1451440  30   1   3   2   2   0   0   1   2   0 
1516975  28   2   2   1   1   1   1   1   3   0 
1582510  26   1   3   1   2   0   0   2   2   0 
1648045  24   2   3   1   1   0   0   1   2   0 
1713580  23   1   2   2   1   1   1   1   2   0 
1779115  21   1   2   1   1   0   0   1   3   0 
1844650  20   1   2   1   0   0   0   1   2   0 
1910185  18   2   3   1   1   1   0   0   2   0 
1975720  16   1   2   1   1   0   1   1   2   0 
2041255  15   1   2   1   1   1   0   1   2   0 
2106790  13   2   2   0   0   0   0   1   1   0 
2172325  12   1   2   1   1   0   1   0   2   0 
2237860  10   1   2   1   1   1   0   1   2   0 
2303395   9   2   3   0   1   0   0   1   2   0 
2368930   8   1   2   1   0   0   0   1   2   0 
2434465   7   0   2   1   1   1   0   1   1   0 
2500000   5   1   2   2   1   0   1   2   2   0 

4 byte EXP	-	EXP required for level
2 byte HP	-	HP increase at level
2 byte MP	-	MP increase at level
2 byte SP	-	SP increase at level
2 byte STR	-	STR increase at level
2 byte VIT	-	VIT increase at level
2 byte ACT	-	ACT increase at level
2 byte MOV	-	MOV increase at level
2 byte MAG	-	MAG increase at level
2 byte MEN	-	MEN increase at level
2 byte SK	-	Skill Slot increase at level
